A,B,C
WS3,Craniofacial-deafness-hand syndrome, Autosomal dominant
WS3,Waardenburg syndrome, Autosomal dominant
WS3,Waardenburg syndrome, Autosomal dominant
AP1S3,Psoriasis 15, Autosomal dominant
PSORS15,Psoriasis 15, Autosomal dominant
CUL3,Pseudohypoaldosteronism, Autosomal dominant
PHA2E,Pseudohypoaldosteronism, Autosomal dominant
IRS1,Diabetes mellitus, Autosomal dominant
COL4A4,Hematuria, Autosomal dominant
ATS2,Hematuria, Autosomal dominant
BFH,Hematuria, Autosomal dominant
COL4A3,Alport syndrome 3, Autosomal dominant
COL4A3,Hematuria, Autosomal dominant
ATS2,Alport syndrome 3, Autosomal dominant
ATS2,Hematuria, Autosomal dominant
ATS3,Alport syndrome 3, Autosomal dominant
ATS3,Hematuria, Autosomal dominant
TM4SF20,Specific language impairment 5, Autosomal dominant
SLI5,Specific language impairment 5, Autosomal dominant
TRIP12,Mental retardation, Autosomal dominant
MRD49,Mental retardation, Autosomal dominant
BDMR,Chromosome 2q37 deletion syndrome, Autosomal dominant
C2DELq37,Chromosome 2q37 deletion syndrome, Autosomal dominant
DEL2q37,Chromosome 2q37 deletion syndrome, Autosomal dominant
CHRND,Myasthenic syndrome, Autosomal dominant
ACHRD,Myasthenic syndrome, Autosomal dominant
SCCMS,Myasthenic syndrome, Autosomal dominant
CMS3A,Myasthenic syndrome, Autosomal dominant
CMS3B,Myasthenic syndrome, Autosomal dominant
CMS3C,Myasthenic syndrome, Autosomal dominant
KCNJ13,Snowflake vitreoretinal degeneration, Autosomal dominant
SVD,Snowflake vitreoretinal degeneration, Autosomal dominant
LCA16,Snowflake vitreoretinal degeneration, Autosomal dominant
COL6A3,Bethlem myopathy 1, Autosomal dominant
COL6A3,Ullrich congenital muscular dystrophy 1, Autosomal dominant
DYT27,Bethlem myopathy 1, Autosomal dominant
DYT27,Ullrich congenital muscular dystrophy 1, Autosomal dominant
BTHLM1,Bethlem myopathy 1, Autosomal dominant
BTHLM1,Ullrich congenital muscular dystrophy 1, Autosomal dominant
UCMD1,Bethlem myopathy 1, Autosomal dominant
UCMD1,Ullrich congenital muscular dystrophy 1, Autosomal dominant
PER2,Advanced sleep phase syndrome, Autosomal dominant
FASPS1,Advanced sleep phase syndrome, Autosomal dominant
KIAA0347,Advanced sleep phase syndrome, Autosomal dominant
TWIST2,Ablepharon-macrostomia syndrome, Autosomal dominant
TWIST2,Barber-Say syndrome, Autosomal dominant
DERMO1,Ablepharon-macrostomia syndrome, Autosomal dominant
DERMO1,Barber-Say syndrome, Autosomal dominant
SETLSS,Ablepharon-macrostomia syndrome, Autosomal dominant
SETLSS,Barber-Say syndrome, Autosomal dominant
FFDD3,Ablepharon-macrostomia syndrome, Autosomal dominant
FFDD3,Barber-Say syndrome, Autosomal dominant
BBRSAY,Ablepharon-macrostomia syndrome, Autosomal dominant
BBRSAY,Barber-Say syndrome, Autosomal dominant
AMS,Ablepharon-macrostomia syndrome, Autosomal dominant
AMS,Barber-Say syndrome, Autosomal dominant
KIF1A,Mental retardation, Autosomal dominant
ATSV,Mental retardation, Autosomal dominant
UNC104,Mental retardation, Autosomal dominant
SPG30,Mental retardation, Autosomal dominant
HSN2C,Mental retardation, Autosomal dominant
MRD9,Mental retardation, Autosomal dominant
DEL3pterp25,3p- syndrome, Autosomal dominant
C3DELpterp25,3p- syndrome, Autosomal dominant
ITPR1,Spinocerebellar ataxia 29, Autosomal dominant
ITPR1,Spinocerebellar ataxia 15, Autosomal dominant
ITPR1,Gillespie syndrome, Autosomal dominant
SCA15,Spinocerebellar ataxia 29, Autosomal dominant
SCA15,Spinocerebellar ataxia 15, Autosomal dominant
SCA15,Gillespie syndrome, Autosomal dominant
SCA16,Spinocerebellar ataxia 29, Autosomal dominant
SCA16,Spinocerebellar ataxia 15, Autosomal dominant
SCA16,Gillespie syndrome, Autosomal dominant
SCA29,Spinocerebellar ataxia 29, Autosomal dominant
SCA29,Spinocerebellar ataxia 15, Autosomal dominant
SCA29,Gillespie syndrome, Autosomal dominant
CAV3,Creatine phosphokinase, Autosomal dominant
CAV3,Long QT syndrome 9, Autosomal dominant
CAV3,Myopathy, Autosomal dominant
CAV3,Rippling muscle disease 2, Autosomal dominant
CAV3,Cardiomyopathy, Autosomal dominant
LQT9,Creatine phosphokinase, Autosomal dominant
LQT9,Long QT syndrome 9, Autosomal dominant
LQT9,Myopathy, Autosomal dominant
LQT9,Rippling muscle disease 2, Autosomal dominant
LQT9,Cardiomyopathy, Autosomal dominant
MPDT,Creatine phosphokinase, Autosomal dominant
MPDT,Long QT syndrome 9, Autosomal dominant
MPDT,Myopathy, Autosomal dominant
MPDT,Rippling muscle disease 2, Autosomal dominant
MPDT,Cardiomyopathy, Autosomal dominant
RMD2,Creatine phosphokinase, Autosomal dominant
RMD2,Long QT syndrome 9, Autosomal dominant
RMD2,Myopathy, Autosomal dominant
RMD2,Rippling muscle disease 2, Autosomal dominant
RMD2,Cardiomyopathy, Autosomal dominant
SETD5,Mental retardation, Autosomal dominant
KIAA1757,Mental retardation, Autosomal dominant
MTMR14,Centronuclear myopathy, Autosomal dominant
C3orf29,Centronuclear myopathy, Autosomal dominant
HJUMPY,Centronuclear myopathy, Autosomal dominant
BRPF1,Intellectual developmental disorder with dysmorphic facies and ptosis, Autosomal dominant
BR140,Intellectual developmental disorder with dysmorphic facies and ptosis, Autosomal dominant
IDDDFP,Intellectual developmental disorder with dysmorphic facies and ptosis, Autosomal dominant
CRELD1,Atrioventricular septal defect, Autosomal dominant
CRELD1,Atrioventricular septal defect, Autosomal dominant
AVSD2,Atrioventricular septal defect, Autosomal dominant
AVSD2,Atrioventricular septal defect, Autosomal dominant
VHL,Pheochromocytoma, Autosomal dominant
VHL,von Hippel-Lindau syndrome, Autosomal dominant
GHRL,Obesity, Multifactorial
SLC6A1,Myoclonic-atonic epilepsy, Autosomal dominant
GABATR,Myoclonic-atonic epilepsy, Autosomal dominant
MAE,Myoclonic-atonic epilepsy, Autosomal dominant
SYN2,Schizophrenia, Autosomal dominant
PPARG,Diabetes, Autosomal dominant
PPARG,Insulin resistance, Autosomal dominant
PPARG,Obesity, Multifactorial
PPARG,Lipodystrophy, Autosomal dominant
PPARG1,Diabetes, Autosomal dominant
PPARG1,Insulin resistance, Autosomal dominant
PPARG1,Obesity, Multifactorial
PPARG1,Lipodystrophy, Autosomal dominant
PPARG2,Diabetes, Autosomal dominant
PPARG2,Insulin resistance, Autosomal dominant
PPARG2,Obesity, Multifactorial
PPARG2,Lipodystrophy, Autosomal dominant
CIMT1,Diabetes, Autosomal dominant
CIMT1,Insulin resistance, Autosomal dominant
CIMT1,Obesity, Multifactorial
CIMT1,Lipodystrophy, Autosomal dominant
GLM1,Diabetes, Autosomal dominant
GLM1,Insulin resistance, Autosomal dominant
GLM1,Obesity, Multifactorial
GLM1,Lipodystrophy, Autosomal dominant
RAF1,Noonan syndrome 5, Autosomal dominant
RAF1,Cardiomyopathy, Autosomal dominant
CRAF,Noonan syndrome 5, Autosomal dominant
CRAF,Cardiomyopathy, Autosomal dominant
NS5,Noonan syndrome 5, Autosomal dominant
NS5,Cardiomyopathy, Autosomal dominant
CMD1NN,Noonan syndrome 5, Autosomal dominant
CMD1NN,Cardiomyopathy, Autosomal dominant
LGMD1H,Muscular dystrophy, Autosomal dominant
TMEM43,Emery-Dreifuss muscular dystrophy 7, Autosomal dominant
TMEM43,Arrhythmogenic right ventricular dysplasia 5, Autosomal dominant
ARVD5,Emery-Dreifuss muscular dystrophy 7, Autosomal dominant
ARVD5,Arrhythmogenic right ventricular dysplasia 5, Autosomal dominant
ARVC5,Emery-Dreifuss muscular dystrophy 7, Autosomal dominant
ARVC5,Arrhythmogenic right ventricular dysplasia 5, Autosomal dominant
EDMD7,Emery-Dreifuss muscular dystrophy 7, Autosomal dominant
EDMD7,Arrhythmogenic right ventricular dysplasia 5, Autosomal dominant
HSN1B,Neuropathy, Autosomal dominant
TRICY1,Trichilemmal cyst 1, Autosomal dominant
09-Feb,Febrile seizures, Autosomal dominant
RPL15,Diamond-Blackfan anemia 12, Autosomal dominant
DBA12,Diamond-Blackfan anemia 12, Autosomal dominant
THRB,Thyroid hormone resistance, Autosomal dominant
THRB,Thyroid hormone resistance, Autosomal dominant
ERBA2,Thyroid hormone resistance, Autosomal dominant
ERBA2,Thyroid hormone resistance, Autosomal dominant
THR1,Thyroid hormone resistance, Autosomal dominant
THR1,Thyroid hormone resistance, Autosomal dominant
PRTH,Thyroid hormone resistance, Autosomal dominant
PRTH,Thyroid hormone resistance, Autosomal dominant
RARB,Microphthalmia, Autosomal dominant
HAP,Microphthalmia, Autosomal dominant
MCOPS12,Microphthalmia, Autosomal dominant
TGFBR2,Loeys-Dietz syndrome 2, Autosomal dominant
HNPCC6,Loeys-Dietz syndrome 2, Autosomal dominant
AAT3,Loeys-Dietz syndrome 2, Autosomal dominant
MFS2,Loeys-Dietz syndrome 2, Autosomal dominant
LDS2,Loeys-Dietz syndrome 2, Autosomal dominant
SCLC1,Small-cell cancer of lung, Autosomal dominant
DDH2,Developmental dysplasia of the hip 2, Autosomal dominant
MLH1,Muir-Torre syndrome, Autosomal dominant
COCA2,Muir-Torre syndrome, Autosomal dominant
HNPCC2,Muir-Torre syndrome, Autosomal dominant
PLCD1,Nail disorder, Autosomal dominant
NDNC3,Nail disorder, Autosomal dominant
SCN5A,Atrial fibrillation, Autosomal dominant
SCN5A,Long QT syndrome 3, Autosomal dominant
SCN5A,Heart block, Autosomal dominant
SCN5A,Cardiomyopathy, Autosomal dominant
SCN5A,Brugada syndrome 1, Autosomal dominant
SCN5A,Heart block, Autosomal dominant
LQT3,Atrial fibrillation, Autosomal dominant
LQT3,Long QT syndrome 3, Autosomal dominant
LQT3,Heart block, Autosomal dominant
LQT3,Cardiomyopathy, Autosomal dominant
LQT3,Brugada syndrome 1, Autosomal dominant
LQT3,Heart block, Autosomal dominant
VF1,Atrial fibrillation, Autosomal dominant
VF1,Long QT syndrome 3, Autosomal dominant
VF1,Heart block, Autosomal dominant
VF1,Cardiomyopathy, Autosomal dominant
VF1,Brugada syndrome 1, Autosomal dominant
VF1,Heart block, Autosomal dominant
HB1,Atrial fibrillation, Autosomal dominant
HB1,Long QT syndrome 3, Autosomal dominant
HB1,Heart block, Autosomal dominant
HB1,Cardiomyopathy, Autosomal dominant
HB1,Brugada syndrome 1, Autosomal dominant
HB1,Heart block, Autosomal dominant
SSS1,Atrial fibrillation, Autosomal dominant
SSS1,Long QT syndrome 3, Autosomal dominant
SSS1,Heart block, Autosomal dominant
SSS1,Cardiomyopathy, Autosomal dominant
SSS1,Brugada syndrome 1, Autosomal dominant
SSS1,Heart block, Autosomal dominant
CMD1E,Atrial fibrillation, Autosomal dominant
CMD1E,Long QT syndrome 3, Autosomal dominant
CMD1E,Heart block, Autosomal dominant
CMD1E,Cardiomyopathy, Autosomal dominant
CMD1E,Brugada syndrome 1, Autosomal dominant
CMD1E,Heart block, Autosomal dominant
CDCD2,Atrial fibrillation, Autosomal dominant
CDCD2,Long QT syndrome 3, Autosomal dominant
CDCD2,Heart block, Autosomal dominant
CDCD2,Cardiomyopathy, Autosomal dominant
CDCD2,Brugada syndrome 1, Autosomal dominant
CDCD2,Heart block, Autosomal dominant
SCN10A,Episodic pain syndrome, Autosomal dominant
FEPS2,Episodic pain syndrome, Autosomal dominant
SCN11A,Neuropathy, Autosomal dominant
SCN11A,Episodic pain syndrome, Autosomal dominant
HSAN7,Neuropathy, Autosomal dominant
HSAN7,Episodic pain syndrome, Autosomal dominant
FEPS3,Neuropathy, Autosomal dominant
FEPS3,Episodic pain syndrome, Autosomal dominant
RPSA,Asplenia, Autosomal dominant
LAMR1,Asplenia, Autosomal dominant
LAMBR,Asplenia, Autosomal dominant
ICAS,Asplenia, Autosomal dominant
CTNNB1,Neurodevelopmental disorder with spastic diplegia and visual defects, Autosomal dominant
CTNNB1,Exudative vitreoretinopathy 7, Autosomal dominant
NEDSDV,Neurodevelopmental disorder with spastic diplegia and visual defects, Autosomal dominant
NEDSDV,Exudative vitreoretinopathy 7, Autosomal dominant
EVR7,Neurodevelopmental disorder with spastic diplegia and visual defects, Autosomal dominant
EVR7,Exudative vitreoretinopathy 7, Autosomal dominant
SLC6A20,Hyperglycinuria, Autosomal dominant
XT3,Hyperglycinuria, Autosomal dominant
MYL3,Cardiomyopathy, Autosomal dominant
CMH8,Cardiomyopathy, Autosomal dominant
PTH1R,Metaphyseal chondrodysplasia, Autosomal dominant
PTH1R,Failure of tooth eruption, Autosomal dominant
PTHR1,Metaphyseal chondrodysplasia, Autosomal dominant
PTHR1,Failure of tooth eruption, Autosomal dominant
PTHR,Metaphyseal chondrodysplasia, Autosomal dominant
PTHR,Failure of tooth eruption, Autosomal dominant
PFE,Metaphyseal chondrodysplasia, Autosomal dominant
PFE,Failure of tooth eruption, Autosomal dominant
EKNS,Metaphyseal chondrodysplasia, Autosomal dominant
EKNS,Failure of tooth eruption, Autosomal dominant
SETD2,Luscan-Lumish syndrome, Autosomal dominant
SET2,Luscan-Lumish syndrome, Autosomal dominant
HYPB,Luscan-Lumish syndrome, Autosomal dominant
HBP231,Luscan-Lumish syndrome, Autosomal dominant
KIAA1732,Luscan-Lumish syndrome, Autosomal dominant
LLS,Luscan-Lumish syndrome, Autosomal dominant
DHX30,Neurodevelopmental disorder with severe motor impairment and absent language, Autosomal dominant
DDX30,Neurodevelopmental disorder with severe motor impairment and absent language, Autosomal dominant
RETCOR,Neurodevelopmental disorder with severe motor impairment and absent language, Autosomal dominant
KIAA0890,Neurodevelopmental disorder with severe motor impairment and absent language, Autosomal dominant
NEDMIAL,Neurodevelopmental disorder with severe motor impairment and absent language, Autosomal dominant
TREX1,Systemic lupus erythematosus, Autosomal dominant
TREX1,Vasculopathy, Autosomal dominant
TREX1,Aicardi-Goutieres syndrome 1, Autosomal dominant
TREX1,Chilblain lupus, Autosomal dominant
AGS1,Systemic lupus erythematosus, Autosomal dominant
AGS1,Vasculopathy, Autosomal dominant
AGS1,Aicardi-Goutieres syndrome 1, Autosomal dominant
AGS1,Chilblain lupus, Autosomal dominant
CRV,Systemic lupus erythematosus, Autosomal dominant
CRV,Vasculopathy, Autosomal dominant
CRV,Aicardi-Goutieres syndrome 1, Autosomal dominant
CRV,Chilblain lupus, Autosomal dominant
HERNS,Systemic lupus erythematosus, Autosomal dominant
HERNS,Vasculopathy, Autosomal dominant
HERNS,Aicardi-Goutieres syndrome 1, Autosomal dominant
HERNS,Chilblain lupus, Autosomal dominant
COL7A1,Toenail dystrophy, Autosomal dominant
COL7A1,EBD, Autosomal dominant
COL7A1,Transient bullous of the newborn, Autosomal dominant
COL7A1,Epidermolysis bullosa dystrophica, Autosomal dominant
COL7A1,Epidermolysis bullosa pruriginosa, Autosomal dominant
COL7A1,Epidermolysis bullosa, Autosomal dominant
NDNC8,Toenail dystrophy, Autosomal dominant
NDNC8,EBD, Autosomal dominant
NDNC8,Transient bullous of the newborn, Autosomal dominant
NDNC8,Epidermolysis bullosa dystrophica, Autosomal dominant
NDNC8,Epidermolysis bullosa pruriginosa, Autosomal dominant
NDNC8,Epidermolysis bullosa, Autosomal dominant
QRICH1,Ververi-Brady syndrome, Autosomal dominant
VERBRAS,Ververi-Brady syndrome, Autosomal dominant
MST1R,Nasopharyngeal carcinoma, Autosomal dominant
RON,Nasopharyngeal carcinoma, Autosomal dominant
NPCA3,Nasopharyngeal carcinoma, Autosomal dominant
GNAT1,Night blindness, Autosomal dominant
CSNBAD3,Night blindness, Autosomal dominant
CSNB1G,Night blindness, Autosomal dominant
GNAI2,Ventricular tachycardia, Autosomal dominant
GNAI2B,Ventricular tachycardia, Autosomal dominant
GIP,Ventricular tachycardia, Autosomal dominant
NPRL2,Epilepsy, Autosomal dominant
NPRL2,Epilepsy, Autosomal dominant
FFEVF2,Epilepsy, Autosomal dominant
MAPKAP3,Macular dystrophy, Autosomal dominant
3PK,Macular dystrophy, Autosomal dominant
MDPT3,Macular dystrophy, Autosomal dominant
BAP1,Tumor predisposition syndrome, Autosomal dominant
TPDS,Tumor predisposition syndrome, Autosomal dominant
TNNC1,Cardiomyopathy, Autosomal dominant
CMD1Z,Cardiomyopathy, Autosomal dominant
CMH13,Cardiomyopathy, Autosomal dominant
CACNA1D,Primary aldosteronism, Autosomal dominant
CACNL1A2,Primary aldosteronism, Autosomal dominant
CCHL1A2,Primary aldosteronism, Autosomal dominant
SANDD,Primary aldosteronism, Autosomal dominant
PASNA,Primary aldosteronism, Autosomal dominant
WNT5A,Robinow syndrome, Autosomal dominant
IL17RD,Hypogonadotropic hypogonadism 18 with or without anosmia, Digenic dominant
SEF,Hypogonadotropic hypogonadism 18 with or without anosmia, Digenic dominant
HH18,Hypogonadotropic hypogonadism 18 with or without anosmia, Digenic dominant
HESX1,Pituitary hormone deficiency, Autosomal dominant
HESX1,Septooptic dysplasia, Autosomal dominant
HESX1,Growth hormone deficiency with pituitary anomalies, Autosomal dominant
RPX,Pituitary hormone deficiency, Autosomal dominant
RPX,Septooptic dysplasia, Autosomal dominant
RPX,Growth hormone deficiency with pituitary anomalies, Autosomal dominant
CPHD5,Pituitary hormone deficiency, Autosomal dominant
CPHD5,Septooptic dysplasia, Autosomal dominant
CPHD5,Growth hormone deficiency with pituitary anomalies, Autosomal dominant
APPL1,Maturity-onset diabetes of the young, Autosomal dominant
APPL,Maturity-onset diabetes of the young, Autosomal dominant
MODY14,Maturity-onset diabetes of the young, Autosomal dominant
FLNB,Larsen syndrome, Autosomal dominant
FLNB,Atelosteogenesis, Autosomal dominant
FLNB,Boomerang dysplasia, Autosomal dominant
FLNB,Atelosteogenesis, Autosomal dominant
SCT,Larsen syndrome, Autosomal dominant
SCT,Atelosteogenesis, Autosomal dominant
SCT,Boomerang dysplasia, Autosomal dominant
SCT,Atelosteogenesis, Autosomal dominant
AOI,Larsen syndrome, Autosomal dominant
AOI,Atelosteogenesis, Autosomal dominant
AOI,Boomerang dysplasia, Autosomal dominant
AOI,Atelosteogenesis, Autosomal dominant
LRS1,Larsen syndrome, Autosomal dominant
LRS1,Atelosteogenesis, Autosomal dominant
LRS1,Boomerang dysplasia, Autosomal dominant
LRS1,Atelosteogenesis, Autosomal dominant
ATXN7,Spinocerebellar ataxia 7, Autosomal dominant
SCA7,Spinocerebellar ataxia 7, Autosomal dominant
OPCA3,Spinocerebellar ataxia 7, Autosomal dominant
MITF,Waardenburg syndrome, Autosomal dominant
MITF,Waardenburg syndrome/ocular albinism, Autosomal dominant
MITF,Tietz albinism-deafness syndrome, Autosomal dominant
WS2A,Waardenburg syndrome, Autosomal dominant
WS2A,Waardenburg syndrome/ocular albinism, Autosomal dominant
WS2A,Tietz albinism-deafness syndrome, Autosomal dominant
CMM8,Waardenburg syndrome, Autosomal dominant
CMM8,Waardenburg syndrome/ocular albinism, Autosomal dominant
CMM8,Tietz albinism-deafness syndrome, Autosomal dominant
COMMAD,Waardenburg syndrome, Autosomal dominant
COMMAD,Waardenburg syndrome/ocular albinism, Autosomal dominant
COMMAD,Tietz albinism-deafness syndrome, Autosomal dominant
FOXP1,Mental retardation with language impairment and with or without autistic features, Autosomal dominant
QRF1,Mental retardation with language impairment and with or without autistic features, Autosomal dominant
PROK2,Hypogonadotropic hypogonadism 4 with or without anosmia, Autosomal dominant
PK2,Hypogonadotropic hypogonadism 4 with or without anosmia, Autosomal dominant
BV8,Hypogonadotropic hypogonadism 4 with or without anosmia, Autosomal dominant
HH4,Hypogonadotropic hypogonadism 4 with or without anosmia, Autosomal dominant
PBC1,Biliary cirrhosis, Autosomal dominant
ROBO2,Vesicoureteral reflux 2, Autosomal dominant
SAX3,Vesicoureteral reflux 2, Autosomal dominant
KIAA1568,Vesicoureteral reflux 2, Autosomal dominant
CHMP2B,Amyotrophic lateral sclerosis 17, Autosomal dominant
CHMP2B,Dementia, Autosomal dominant
DMT1,Amyotrophic lateral sclerosis 17, Autosomal dominant
DMT1,Dementia, Autosomal dominant
VPS2B,Amyotrophic lateral sclerosis 17, Autosomal dominant
VPS2B,Dementia, Autosomal dominant
ALS17,Amyotrophic lateral sclerosis 17, Autosomal dominant
ALS17,Dementia, Autosomal dominant
POU1F1,Pituitary hormone deficiency, Autosomal dominant
PIT1,Pituitary hormone deficiency, Autosomal dominant
CPHD1,Pituitary hormone deficiency, Autosomal dominant
PROS1,Thrombophilia due to protein S deficiency, Autosomal dominant
THPH5,Thrombophilia due to protein S deficiency, Autosomal dominant
THPH6,Thrombophilia due to protein S deficiency, Autosomal dominant
CAMPD1,Camptodactyly 1, Autosomal dominant
CPOX,Harderoporphyria, Autosomal dominant
CPOX,Coproporphyria, Autosomal dominant
TFG,Hereditary motor and sensory neuropathy, Autosomal dominant
HMSNP,Hereditary motor and sensory neuropathy, Autosomal dominant
SPG57,Hereditary motor and sensory neuropathy, Autosomal dominant
IMPG2,Macular dystrophy, Autosomal dominant
IPM200,Macular dystrophy, Autosomal dominant
RP56,Macular dystrophy, Autosomal dominant
VMD5,Macular dystrophy, Autosomal dominant
MHS4,Malignant hyperthermia susceptibility 4, Autosomal dominant
CD96,C syndrome, Autosomal dominant
TACTILE,C syndrome, Autosomal dominant
DEL3q13.31,Chromosome 3q13.31 deletion syndrome, Autosomal dominant
C13DELq13.31,Chromosome 3q13.31 deletion syndrome, Autosomal dominant
ATP6V1A,Epileptic encephalopathy, Autosomal dominant
HO68,Epileptic encephalopathy, Autosomal dominant
ARCL2D,Epileptic encephalopathy, Autosomal dominant
IECEE3,Epileptic encephalopathy, Autosomal dominant
DRD3,Schizophrenia, Autosomal dominant
DRD3,Essential tremor, Autosomal dominant
ETM1,Schizophrenia, Autosomal dominant
ETM1,Essential tremor, Autosomal dominant
FET1,Schizophrenia, Autosomal dominant
FET1,Essential tremor, Autosomal dominant
ZBTB20,Primrose syndrome, Autosomal dominant
ZNF288,Primrose syndrome, Autosomal dominant
DPZF,Primrose syndrome, Autosomal dominant
PRIMS,Primrose syndrome, Autosomal dominant
ARHGAP31,Adams-Oliver syndrome 1, Autosomal dominant
CDGAP,Adams-Oliver syndrome 1, Autosomal dominant
KIAA1204,Adams-Oliver syndrome 1, Autosomal dominant
AOS1,Adams-Oliver syndrome 1, Autosomal dominant
POGLUT1,Dowling-Degos disease 4, Autosomal dominant
CLP46,Dowling-Degos disease 4, Autosomal dominant
KTELC1,Dowling-Degos disease 4, Autosomal dominant
RUMI,Dowling-Degos disease 4, Autosomal dominant
C3orf9,Dowling-Degos disease 4, Autosomal dominant
DDD4,Dowling-Degos disease 4, Autosomal dominant
LGMDR21,Dowling-Degos disease 4, Autosomal dominant
CASR,Hypocalcemia, Autosomal dominant
CASR,Hypocalciuric hypercalcemia, Autosomal dominant
CASR,Hypocalcemia, Autosomal dominant
CASR,Hyperparathyroidism, Autosomal dominant
HHC1,Hypocalcemia, Autosomal dominant
HHC1,Hypocalciuric hypercalcemia, Autosomal dominant
HHC1,Hypocalcemia, Autosomal dominant
HHC1,Hyperparathyroidism, Autosomal dominant
PCAR1,Hypocalcemia, Autosomal dominant
PCAR1,Hypocalciuric hypercalcemia, Autosomal dominant
PCAR1,Hypocalcemia, Autosomal dominant
PCAR1,Hyperparathyroidism, Autosomal dominant
FIH,Hypocalcemia, Autosomal dominant
FIH,Hypocalciuric hypercalcemia, Autosomal dominant
FIH,Hypocalcemia, Autosomal dominant
FIH,Hyperparathyroidism, Autosomal dominant
EIG8,Hypocalcemia, Autosomal dominant
EIG8,Hypocalciuric hypercalcemia, Autosomal dominant
EIG8,Hypocalcemia, Autosomal dominant
EIG8,Hyperparathyroidism, Autosomal dominant
HYPOC1,Hypocalcemia, Autosomal dominant
HYPOC1,Hypocalciuric hypercalcemia, Autosomal dominant
HYPOC1,Hypocalcemia, Autosomal dominant
HYPOC1,Hyperparathyroidism, Autosomal dominant
ATOD1,Dermatitis, Autosomal dominant
GLC1C,Glaucoma 1C, Autosomal dominant
HCFP1,Facial paresis, Autosomal dominant
MBS2,Facial paresis, Autosomal dominant
ADCY5,Dyskinesia, Autosomal dominant
FDFM,Dyskinesia, Autosomal dominant
MYLK,Aortic aneurysm, Autosomal dominant
MLCK,Aortic aneurysm, Autosomal dominant
AAT7,Aortic aneurysm, Autosomal dominant
MMIHS,Aortic aneurysm, Autosomal dominant
ZNF148,Global developmental delay, Autosomal dominant
ZFP148,Global developmental delay, Autosomal dominant
GDACCF,Global developmental delay, Autosomal dominant
MCM2,Deafness, Autosomal dominant
CDCL1,Deafness, Autosomal dominant
DFNA70,Deafness, Autosomal dominant
SEC61A1,Hyperuricemic nephropathy, Autosomal dominant
SEC61,Hyperuricemic nephropathy, Autosomal dominant
HNFJ4,Hyperuricemic nephropathy, Autosomal dominant
GATA2,Emberger syndrome, Autosomal dominant
GATA2,Immunodeficiency 21, Autosomal dominant
GATA2,Leukemia, Somatic mutation
DCML,Emberger syndrome, Autosomal dominant
DCML,Immunodeficiency 21, Autosomal dominant
DCML,Leukemia, Somatic mutation
MONOMAC,Emberger syndrome, Autosomal dominant
MONOMAC,Immunodeficiency 21, Autosomal dominant
MONOMAC,Leukemia, Somatic mutation
IMD21,Emberger syndrome, Autosomal dominant
IMD21,Immunodeficiency 21, Autosomal dominant
IMD21,Leukemia, Somatic mutation
RAB7,Charcot-Marie-Tooth disease, Autosomal dominant
CMT2B,Charcot-Marie-Tooth disease, Autosomal dominant
PSN,Charcot-Marie-Tooth disease, Autosomal dominant
CNBP,Myotonic dystrophy 2, Autosomal dominant
ZNF9,Myotonic dystrophy 2, Autosomal dominant
CNBP1,Myotonic dystrophy 2, Autosomal dominant
DM2,Myotonic dystrophy 2, Autosomal dominant
PROMM,Myotonic dystrophy 2, Autosomal dominant
DFNA18,Deafness, Autosomal dominant
PARK21,Parkinson disease 21, Autosomal dominant
RHO,Retinitis punctata albescens, Autosomal dominant
RHO,Retinitis pigmentosa 4, Autosomal dominant
RP4,Retinitis punctata albescens, Autosomal dominant
RP4,Retinitis pigmentosa 4, Autosomal dominant
OPN2,Retinitis punctata albescens, Autosomal dominant
OPN2,Retinitis pigmentosa 4, Autosomal dominant
CSNBAD1,Retinitis punctata albescens, Autosomal dominant
CSNBAD1,Retinitis pigmentosa 4, Autosomal dominant
ATP2C1,Hailey-Hailey disease, Autosomal dominant
BCPM,Hailey-Hailey disease, Autosomal dominant
HHD,Hailey-Hailey disease, Autosomal dominant
BFSP2,Cataract 12, Autosomal dominant
CP49,Cataract 12, Autosomal dominant
CP47,Cataract 12, Autosomal dominant
CTRCT12,Cataract 12, Autosomal dominant
STAG1,Mental retardation, Autosomal dominant
MRD47,Mental retardation, Autosomal dominant
MRAS,Noonan syndrome 11, Autosomal dominant
RRAS3,Noonan syndrome 11, Autosomal dominant
NS11,Noonan syndrome 11, Autosomal dominant
FOXL2,Blepharophimosis, Autosomal dominant
FOXL2,Premature ovarian failure 3, Autosomal dominant
FOXL2,Blepharophimosis, Autosomal dominant
BPES,Blepharophimosis, Autosomal dominant
BPES,Premature ovarian failure 3, Autosomal dominant
BPES,Blepharophimosis, Autosomal dominant
BPES1,Blepharophimosis, Autosomal dominant
BPES1,Premature ovarian failure 3, Autosomal dominant
BPES1,Blepharophimosis, Autosomal dominant
PFRK,Blepharophimosis, Autosomal dominant
PFRK,Premature ovarian failure 3, Autosomal dominant
PFRK,Blepharophimosis, Autosomal dominant
POF3,Blepharophimosis, Autosomal dominant
POF3,Premature ovarian failure 3, Autosomal dominant
POF3,Blepharophimosis, Autosomal dominant
ATR,Cutaneous telangiectasia and cancer syndrome, Autosomal dominant
FRP1,Cutaneous telangiectasia and cancer syndrome, Autosomal dominant
SCKL1,Cutaneous telangiectasia and cancer syndrome, Autosomal dominant
